"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_0","NFkB","0.997","0.003","0.007814","high"
"hpc_14","NFkB","0.994","0.006","0.014","high"
"hpc_9","NFkB","0.993","0.007","0.016752","high"
"hpc_1","NFkB","0.986","0.014","0.036296","high"
"hpc_1","EGFR","0.968","0.032","0.037025","low"
"hpc_22","p53","0.99","0.01","0.053333","high"
"hpc_9","TNFa","0.963","0.037","0.06641","low"
"hpc_8","NFkB","0.971","0.029","0.0697","high"
"hpc_16","NFkB","0.97","0.03","0.070588","high"
"hpc_27","p53","0.987","0.013","0.071373","high"
"hpc_1","p53","0.987","0.013","0.095789","high"
"hpc_8","p53","0.984","0.016","0.096344","high"
"hpc_16","PI3K","0.991","0.009","0.096923","high"
"hpc_7","EGFR","0.923","0.077","0.100279","low"
"hpc_7","NFkB","0.955","0.045","0.10678","high"
"hpc_15","NFkB","0.952","0.048","0.111535","high"
"hpc_0","Trail","0.934","0.066","0.118083","low"
"hpc_20","p53","0.978","0.022","0.124444","high"
"hpc_20","NFkB","0.945","0.055","0.12887","high"
"hpc_39","NFkB","0.947","0.053","0.129607","high"
"hpc_9","EGFR","0.877","0.123","0.157982","low"
"hpc_10","MAPK","0.918","0.082","0.169446","high"
"hpc_32","p53","0.969","0.031","0.190769","high"
"hpc_0","p53","0.973","0.027","0.2016","high"
"hpc_14","EGFR","0.807","0.193","0.220571","low"
"hpc_0","EGFR","0.808","0.192","0.222609","low"
"hpc_21","p53","0.956","0.044","0.236923","high"
"hpc_8","PI3K","0.971","0.029","0.249846","high"
"hpc_16","EGFR","0.771","0.229","0.262787","low"
"hpc_32","EGFR","0.755","0.245","0.285239","low"
"hpc_21","EGFR","0.753","0.247","0.290588","low"
"hpc_9","WNT","0.958","0.042","0.301538","high"
"hpc_22","Androgen","0.744","0.256","0.308966","low"
"hpc_10","NFkB","0.87","0.13","0.319298","high"
"hpc_32","TNFa","0.817","0.183","0.343893","low"
"hpc_15","EGFR","0.691","0.309","0.355318","low"
"hpc_9","p53","0.939","0.061","0.363404","high"
"hpc_20","EGFR","0.687","0.313","0.363651","low"
"hpc_8","EGFR","0.711","0.289","0.375499","low"
"hpc_14","Hypoxia","0.89","0.11","0.380247","high"
"hpc_14","Estrogen","0.696","0.304","0.39683","low"
"hpc_31","Estrogen","0.886","0.114","0.43726","high"
"hpc_3","EGFR","0.628","0.372","0.438568","low"
"hpc_27","EGFR","0.617","0.383","0.452489","low"
"hpc_10","EGFR","0.601","0.399","0.456933","low"
"hpc_31","EGFR","0.604","0.396","0.462","low"
"hpc_15","TNFa","0.763","0.237","0.468975","low"
"hpc_22","NFkB","0.79","0.21","0.48","high"
"hpc_32","NFkB","0.801","0.199","0.482424","high"
"hpc_20","PI3K","0.957","0.043","0.491429","high"
"hpc_44","EGFR","0.614","0.386","0.499215","low"
"hpc_39","EGFR","0.57","0.43","0.502714","low"
"hpc_10","VEGF","0.899","0.101","0.528598","high"
"hpc_22","EGFR","0.544","0.456","0.535346","low"
"hpc_0","TGFb","0.664","0.336","0.548571","low"
"hpc_41","EGFR","0.572","0.428","0.554815","low"
"hpc_37","EGFR","0.52","0.48","0.562343","low"
"hpc_20","MAPK","0.772","0.228","0.572556","high"
"hpc_3","NFkB","0.742","0.258","0.594568","high"
"hpc_1","WNT","0.86","0.14","0.603077","high"
"hpc_9","Hypoxia","0.714","0.286","0.645806","high"
"hpc_0","MAPK","0.361","0.639","0.656587","low"
