"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_0","LCK","0.983","0.017","0.151111","high"
"hpc_0","LCK","0.837","0.163","0.279144","low"
"hpc_10","PLK1","0.932","0.068","0.290687","high"
"hpc_27","PLK1","0.925","0.075","0.488372","high"
"hpc_9","CHEK1","0.432","0.568","0.602424","low"
"hpc_10","CHEK1","0.706","0.294","0.666559","high"
"hpc_0","CHEK1","0.7","0.3","0.674699","high"
"hpc_9","CSNK2A1","0.297","0.703","0.723676","low"
"hpc_7","CHEK1","0.299","0.701","0.726963","low"
"hpc_32","CSNK2A1","0.198","0.802","0.803435","low"
"hpc_7","CSNK2A1","0.214","0.786","0.806154","low"
"hpc_8","CHEK1","0.222","0.778","0.81588","low"
"hpc_21","CSNK2A1","0.205","0.795","0.81989","low"
"hpc_1","CSNK2A1","0.229","0.771","0.820837","low"
"hpc_32","CHEK1","0.212","0.788","0.824822","low"
"hpc_7","GSK3B","0.234","0.766","0.831318","low"
"hpc_0","CHEK1","0.324","0.676","0.835673","low"
"hpc_1","EGF","0.176","0.824","0.838982","low"
"hpc_8","CSNK2A1","0.177","0.823","0.842559","low"
"hpc_39","CHEK1","0.173","0.827","0.856044","low"
"hpc_39","CSNK2A1","0.148","0.852","0.856589","low"
"hpc_14","EGF","0.157","0.843","0.86146","low"
"hpc_37","CSNK2A1","0.135","0.865","0.865","low"
"hpc_21","GSK3B","0.188","0.812","0.867786","low"
"hpc_0","EGF","0.155","0.845","0.868257","low"
"hpc_22","CSNK2A1","0.138","0.862","0.869766","low"
"hpc_44","CSNK2A1","0.142","0.858","0.870435","low"
"hpc_31","CSNK2A1","0.134","0.866","0.875379","low"
"hpc_41","CHEK1","0.152","0.848","0.876162","low"
"hpc_37","CHEK1","0.16","0.84","0.877612","low"
"hpc_10","EGF","0.136","0.864","0.878113","low"
"hpc_9","GSK3B","0.194","0.806","0.878132","low"
"hpc_27","CSNK2A1","0.125","0.875","0.881295","low"
"hpc_9","ATM","0.233","0.767","0.883786","low"
"hpc_3","CSNK2A1","0.125","0.875","0.886076","low"
"hpc_21","CHEK1","0.293","0.707","0.887713","low"
"hpc_9","CDK2","0.281","0.719","0.890796","low"
"hpc_44","CHEK1","0.142","0.858","0.891429","low"
"hpc_41","CSNK2A1","0.111","0.889","0.892186","low"
"hpc_20","CSNK2A1","0.151","0.849","0.895367","low"
"hpc_3","CHEK1","0.141","0.859","0.895791","low"
"hpc_9","EGF","0.199","0.801","0.900723","low"
"hpc_15","EGF","0.116","0.884","0.901712","low"
