"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_0","EGR1","0.991","0.009","0.011533","low"
"hpc_10","EGR1","0.991","0.009","0.011586","low"
"hpc_0","E2F4","0.993","0.007","0.01931","high"
"hpc_31","EGR1","0.974","0.026","0.034178","low"
"hpc_3","ZNF263","0.967","0.033","0.048251","low"
"hpc_3","EGR1","0.959","0.041","0.054024","low"
"hpc_7","ZNF263","0.958","0.042","0.062553","low"
"hpc_10","ZNF263","0.957","0.043","0.065435","low"
"hpc_0","ZNF263","0.953","0.047","0.074141","low"
"hpc_20","EGR1","0.941","0.059","0.07848","low"
"hpc_14","EGR1","0.922","0.078","0.101818","low"
"hpc_20","E2F4","0.963","0.037","0.102574","high"
"hpc_7","SPI1","0.972","0.028","0.130667","high"
"hpc_22","E2F4","0.954","0.046","0.130761","high"
"hpc_32","ZNF263","0.886","0.114","0.172075","low"
"hpc_7","EGR1","0.84","0.16","0.197357","low"
"hpc_8","E2F4","0.946","0.054","0.200265","high"
"hpc_16","EGR1","0.845","0.155","0.204717","low"
"hpc_1","E2F4","0.921","0.079","0.216863","high"
"hpc_15","E2F4","0.912","0.088","0.238068","high"
"hpc_21","E2F4","0.908","0.092","0.262857","high"
"hpc_21","ZNF263","0.809","0.191","0.278542","low"
"hpc_1","EGR1","0.781","0.219","0.282581","low"
"hpc_32","EGR1","0.776","0.224","0.286393","low"
"hpc_41","ZNF263","0.808","0.192","0.290595","low"
"hpc_27","EGR1","0.769","0.231","0.302243","low"
"hpc_32","MYC","0.721","0.279","0.305753","low"
"hpc_16","E2F4","0.885","0.115","0.309615","high"
"hpc_31","ZNF263","0.791","0.209","0.310451","low"
"hpc_22","ZNF263","0.772","0.228","0.331636","low"
"hpc_39","ZNF263","0.77","0.23","0.349051","low"
"hpc_15","EGR1","0.734","0.266","0.352151","low"
"hpc_10","E2F4","0.861","0.139","0.37244","high"
"hpc_31","E2F4","0.866","0.134","0.3752","high"
"hpc_39","EGR1","0.696","0.304","0.377472","low"
"hpc_1","ZNF263","0.758","0.242","0.380674","low"
"hpc_0","MYC","0.64","0.36","0.407273","low"
"hpc_9","EGR1","0.638","0.362","0.448496","low"
"hpc_44","ZNF263","0.698","0.302","0.450987","low"
"hpc_14","RFX5","0.726","0.274","0.470675","low"
"hpc_31","MYC","0.55","0.45","0.487427","low"
"hpc_8","ZNF263","0.674","0.326","0.489437","low"
"hpc_0","SPI1","0.97","0.03","0.509091","high"
"hpc_27","E2F1","0.818","0.182","0.572584","high"
"hpc_9","ZNF263","0.604","0.396","0.592941","low"
"hpc_1","HNF4A","0.416","0.584","0.594618","low"
"hpc_37","EGR1","0.508","0.492","0.612267","low"
"hpc_9","MYC","0.436","0.564","0.614475","low"
"hpc_3","MYC","0.416","0.584","0.625315","low"
"hpc_14","E2F4","0.764","0.236","0.629333","high"
"hpc_22","EGR1","0.518","0.482","0.632131","low"
"hpc_21","MYC","0.406","0.594","0.634809","low"
"hpc_44","MYC","0.414","0.586","0.637204","low"
"hpc_41","EGR1","0.477","0.523","0.65375","low"
"hpc_20","ZNF263","0.553","0.447","0.660475","low"
"hpc_8","MYC","0.389","0.611","0.666979","low"
"hpc_14","ZNF263","0.535","0.465","0.685263","low"
"hpc_15","MYC","0.348","0.652","0.700806","low"
"hpc_1","MYC","0.374","0.626","0.706774","low"
"hpc_37","ZNF263","0.526","0.474","0.713548","low"
"hpc_8","EGR1","0.412","0.588","0.723692","low"
"hpc_37","MYC","0.335","0.665","0.727344","low"
"hpc_10","SOX2","0.542","0.458","0.7349","low"
"hpc_15","ZNF263","0.497","0.503","0.739318","low"
"hpc_7","MYC","0.687","0.313","0.742712","high"
"hpc_41","E2F1","0.76","0.24","0.746667","high"
"hpc_21","MYC","0.67","0.33","0.757377","high"
"hpc_21","EGR1","0.429","0.571","0.757725","low"
"hpc_21","E2F1","0.36","0.64","0.762553","low"
"hpc_10","MYC","0.304","0.696","0.767244","low"
"hpc_44","EGR1","0.377","0.623","0.777016","low"
"hpc_27","MYC","0.269","0.731","0.784215","low"
"hpc_14","MYC","0.262","0.738","0.794769","low"
"hpc_9","E2F1","0.305","0.695","0.800823","low"
"hpc_20","MYC","0.251","0.749","0.80817","low"
"hpc_16","MYC","0.25","0.75","0.810811","low"
"hpc_20","E2F1","0.319","0.681","0.813134","low"
"hpc_7","E2F1","0.31","0.69","0.816913","low"
"hpc_7","MYC","0.24","0.76","0.824806","low"
"hpc_8","E2F1","0.279","0.721","0.832495","low"
"hpc_8","ETS1","0.201","0.799","0.837903","low"
"hpc_41","MYC","0.236","0.764","0.838902","low"
"hpc_39","MYC","0.235","0.765","0.84165","low"
"hpc_7","ETS1","0.183","0.817","0.847259","low"
"hpc_22","MYC","0.205","0.795","0.848","low"
"hpc_0","E2F4","0.257","0.743","0.861449","low"
"hpc_16","ZNF263","0.414","0.586","0.868148","low"
"hpc_22","E2F1","0.272","0.728","0.878621","low"
"hpc_0","RFX5","0.901","0.099","0.88","high"
"hpc_9","ETS1","0.162","0.838","0.888788","low"
"hpc_20","RFX5","0.476","0.524","0.891915","low"
"hpc_15","HNF4A","0.121","0.879","0.896612","low"
"hpc_27","HNF1A","0.106","0.894","0.900432","low"
"hpc_39","HNF1A","0.104","0.896","0.900826","low"
"hpc_14","ETS1","0.288","0.712","0.902081","low"
"hpc_32","HNF1A","0.096","0.904","0.905617","low"
"hpc_39","ETS1","0.125","0.875","0.90573","low"
"hpc_0","HNF4A","0.117","0.883","0.907303","low"
"hpc_14","HNF4A","0.111","0.889","0.908467","low"
"hpc_41","HNF1A","0.092","0.908","0.911254","low"
"hpc_44","HNF4A","0.2","0.8","0.912424","low"
"hpc_44","ETS1","0.119","0.881","0.915325","low"
"hpc_14","HNF1A","0.125","0.875","0.921053","low"
"hpc_37","HNF1A","0.076","0.924","0.924","low"
"hpc_44","E2F4","0.747","0.253","0.926013","high"
"hpc_1","E2F4","0.198","0.802","0.927934","low"
"hpc_44","HNF1A","0.079","0.921","0.934348","low"
"hpc_32","ETS1","0.105","0.895","0.936822","low"
"hpc_14","TP53","0.317","0.683","0.937451","low"
"hpc_27","ZNF263","0.36","0.64","0.93822","low"
"hpc_10","HNF4A","0.076","0.924","0.939093","low"
"hpc_16","HNF1A","0.105","0.895","0.94566","low"
"hpc_31","ETS1","0.09","0.91","0.947212","low"
"hpc_41","ETS1","0.083","0.917","0.947454","low"
"hpc_21","HNF1A","0.077","0.923","0.951897","low"
"hpc_27","HNF4A","0.139","0.861","0.952885","low"
